,기업명,직무,경력사항,학력,근무지,근무형태,분류,상세링크
33,(주)스카이랩스,각 부문별 신입 및 경력 채용,신입 · 경력,학력무관,경기 성남시 분당구,정규직 · 계약직,"['백엔드/서버개발', '앱개발', '웹개발', '정보보안', '프론트엔드']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41789570
34,에스피엘(주),에스피엘㈜  생산관리 담당 채용,신입 · 경력,대학교(4년)↑,경기 평택시,정규직,"['SAP', '실적관리', '단순생산직', '생산관리', '설비OP']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41819870
35,(주)쿡앱스,"[쿡앱스] 서버 개발자 (전문연구요원, 석사)",신입 · 경력,석사↑,경기전체,정규직,"['백엔드/서버개발', '웹개발', '프론트엔드', 'DBA', 'SE(시스템엔지니어)']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41821671
36,(주)모아저축은행,모아저축은행 경력직 채용 안내,경력,학력무관,인천 미추홀구,정규직 · 계약직,"['백엔드/서버개발', '웹개발', '웹마스터', '유지보수', '정보보안']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41803980
37,제이티비씨스튜디오(주),JTBC스튜디오 부문별 경력사원 모집,경력,학력무관,서울 마포구,정규직,"['SAP', '경리', '공인회계사', '세무사', '전산회계']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41823756
38,(주)일화,㈜일화 경력사원 모집 (마케팅/온라인MD/영업/IT/재무/공무),경력,학력무관,서울 강동구,정규직,"['유지보수', 'SAP', 'Android', 'Javascript', 'JSP']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41804228
39,(주)후이즈,(주)후이즈 도메인사업부 시스템엔지니어(SE) 채용,경력무관,"대학(2,3년)↑",서울 구로구,정규직,"['백엔드/서버개발', 'SE(시스템엔지니어)', '네트워크', 'Linux', '스크립트']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41812743
40,(의)한전의료재단,[한전의료재단 한일병원] 보건관리자 / 정보보안 직원 채용,경력무관,"대학(2,3년)↑",서울 도봉구,정규직,"['정보보안', '병원코디네이터', '병원행정사', '보건관리자', '병원경영']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41822830&adsCategoryItem=effect_bold&
41,(주)해원티앤디,2021년 ㈜해원티앤디 공개채용(신입 및 경력 수시채용),신입 · 경력,학력무관,경기 화성시,정규직,"['기술지원', '알고리즘', '연말정산', '원천세신고', '종합소득세']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41819702
42,팅크웨어(주),"아이나비 SW, 펌웨어(FW) 개발 경력자 모집",3 ~ 12년,학력무관,경기 성남시 분당구,정규직,"['임베디드', '펌웨어', 'MCU', 'RTOS', 'S/W']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41823943&adsCategoryItem=effect_bold&
43,비유피,[비유피] 2022 상반기 대규모 신입/경력 채용공고,신입 · 경력,학력무관,서울 강서구,정규직,"['퍼블리셔', 'HTML', '총무', '비품관리', '사이트관리']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41825215
44,(주)아이오티큐브,웹 서비스 개발자(프론트엔드),2 ~ 10년,"대학(2,3년)↑",서울전체,정규직,"['웹개발', '프론트엔드', 'ECMAScript', 'Javascript', 'React']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41819196
45,(주)유투엔지,"[유투엔지] 각 부문별 신입/경력 채용 (기술지원, 사업기획·관리, 경영지원, 개발자)",경력무관,고졸↑,서울 성동구,정규직,"['기술지원', '유지보수', 'SE(시스템엔지니어)', '정보통신', 'S/W']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41819118
46,(주)에임스,에임스 SW/HW/기구/설계 정규직 채용,경력무관,학력무관,서울 송파구,정규직 · 인턴직,"['펌웨어', 'MCU', 'C#', 'C++', 'iOS']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41626253
47,(주)합동전자산업,2022상반기 부설연구소 소프트웨어 및 하드웨어 개발자 채용,신입 · 경력,학력무관,서울 영등포구,정규직,"['유지보수', '펌웨어', 'H/W', 'S/W', 'Windows']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41821695
48,(주)디케이테크인,[카카오 자회사] SAP ERP 프로젝트 PM,경력 15년↑,학력무관,경기 성남시 분당구,정규직,"['ERP', 'SAP', 'ABAP', 'IT영업', 'PL(프로젝트리더)']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41696224
49,(주)아이센스,㈜아이센스 2021년 하반기 신입 및 경력 수시채용,신입 · 경력,학력무관,서울 서초구,정규직,"['웹개발', '유지보수', '퍼블리셔', 'SE(시스템엔지니어)', '네트워크']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=41795413&adsCategoryItem=effect_bold&
